Date;Open;High;Low;Close;Volume
02.05.77;702100;703900;702100;703800;0
03.05.77;703000;703300;701800;702100;0
04.05.77;702200;702800;701900;702200;0
05.05.77;700900;702000;700500;701800;0
06.05.77;702400;703200;702100;702700;0
09.05.77;702500;702500;701500;702400;0
10.05.77;702200;702700;701900;702200;0
11.05.77;702200;702600;701500;701700;0
12.05.77;701600;702600;700700;702200;0
13.05.77;703000;703200;702000;702500;0
16.05.77;702300;702800;702000;702700;0
17.05.77;702200;702800;701700;701700;0
18.05.77;701000;701500;700600;701000;0
19.05.77;700700;702100;700400;701200;0
20.05.77;701400;701900;701000;701100;0
23.05.77;701000;701000;699100;699500;0
24.05.77;699500;699700;697500;698200;0
25.05.77;698800;699100;697500;698300;0
26.05.77;697800;698100;696200;696800;0
27.05.77;697700;699000;697700;698700;0
31.05.77;697500;697700;697000;697700;0
01.06.77;698200;698800;698100;698300;0
02.06.77;696400;696800;695800;696800;0
03.06.77;696200;696700;695500;696700;0
06.06.77;696800;697700;696800;697400;0
07.06.77;697600;697600;696500;696800;0
08.06.77;696200;696400;695700;695700;0
09.06.77;694100;694700;693700;693700;0
10.06.77;694000;695300;694000;695300;0
13.06.77;693200;693200;692000;692000;0
14.06.77;691500;691900;691200;691300;0
15.06.77;692900;694200;692600;693900;0
16.06.77;694200;695000;693700;693700;0
17.06.77;692700;694100;692700;694100;0
20.06.77;694600;694900;694400;694500;0
21.06.77;696000;696200;695100;695100;0
22.06.77;694100;694300;693500;694100;0
23.06.77;694400;695100;694400;695100;0
24.06.77;695100;695600;694900;695300;0
27.06.77;696300;698000;696200;698000;0
28.06.77;697400;697700;696200;696400;0
29.06.77;696700;697300;696200;697100;0
30.06.77;697100;697600;697000;697000;0
01.07.77;696900;697100;695500;695500;0
05.07.77;695000;695800;693900;694300;0
06.07.77;694600;695100;694300;694800;0
07.07.77;695300;695600;695000;695300;0
08.07.77;696000;696300;695600;695900;0
11.07.77;695400;695400;694700;695000;0
12.07.77;695800;697100;695600;697000;0
13.07.77;697200;698900;696700;698400;0
15.07.77;698700;699400;697700;698100;0
18.07.77;697800;699200;697200;699200;0
19.07.77;699600;700200;698500;698600;0
20.07.77;698500;699100;697800;698200;0
21.07.77;698000;698200;697500;697600;0
22.07.77;698500;699100;698400;698700;0
25.07.77;700400;700800;700300;700700;0
26.07.77;699800;700400;699600;700100;0
27.07.77;699600;700100;698700;698800;0
28.07.77;698100;698500;697200;697400;0
29.07.77;697900;699500;697900;698500;0
01.08.77;698800;699600;698100;699600;0
02.08.77;700400;700500;699600;699700;0
03.08.77;700600;700600;700100;700400;0
04.08.77;701100;701500;700000;700000;0
05.08.77;699800;700800;699600;700600;0
08.08.77;700200;700700;699600;700700;0
09.08.77;700900;701200;699900;699900;0
10.08.77;699900;700400;699900;700000;0
11.08.77;699400;700000;699400;700000;0
12.08.77;699300;699300;697400;697400;0
15.08.77;697500;697700;696200;696200;0
16.08.77;696900;697900;696800;697400;0
17.08.77;697900;697900;697900;697900;0
18.08.77;697000;698400;697000;698400;0
19.08.77;697900;698500;697900;698300;0
22.08.77;698000;698100;697200;697700;0
23.08.77;697300;698000;696700;697900;0
24.08.77;697700;698800;697700;698400;0
25.08.77;698400;698400;697600;697900;0
26.08.77;698200;700100;698200;700100;0
29.08.77;699700;700100;699500;699600;0
30.08.77;700000;700700;699900;700000;0
31.08.77;700300;700400;699400;699600;0
01.09.77;699200;699900;698900;699800;0
02.09.77;700000;702400;700000;702300;0
06.09.77;701600;701800;700700;700800;0
07.09.77;701100;702700;701000;702100;0
08.09.77;701600;701800;700600;700900;0
09.09.77;701200;702000;700900;701900;0
12.09.77;702300;702700;701700;701800;0
13.09.77;701300;701800;701200;701500;0
14.09.77;701700;702500;701600;701900;0
15.09.77;702200;702200;701100;701800;0
16.09.77;702300;703400;702000;703000;0
19.09.77;703600;704300;703400;703500;0
20.09.77;703400;705100;703200;705000;0
21.09.77;705600;705800;704800;705500;0
22.09.77;705800;706100;705300;705600;0
23.09.77;705100;705500;704200;705500;0
26.09.77;706800;707600;706700;707400;0
27.09.77;706800;707100;706300;706800;0
28.09.77;707900;708400;707100;707100;0
29.09.77;707300;707900;706100;707500;0
30.09.77;708000;708600;707800;707900;0
03.10.77;709300;709500;709000;709300;0
04.10.77;708800;709500;708300;709300;0
05.10.77;709100;709100;708100;708300;0
06.10.77;707500;708200;706900;707000;0
07.10.77;707400;709200;707100;708800;0
10.10.77;710800;711400;710500;710500;0
11.10.77;710500;711900;710200;711700;0
